id,source_file,month,year,sl_no,heads_of_crime,major_head,minor_head,upto_end_of_month,prev_year_month,previous_month,current_month,category_id,category_name,subcategory_id,subcategory_name,mapping_confidence,mapping_method
85,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Love Intrigue,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
86,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Professional,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
87,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,87,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Sudden Quarrel,4,1,2,1,2,Crimes Against Persons,7,Murder,0.95,substring
88,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Custodial Rape,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
89,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Attempt to Commit,5,0,1,2,3,Cyber Crime,,,0.4,token_overlap
90,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By a Gang,6,2,1,1,3,Cyber Crime,,,0.4,token_overlap
91,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Parents,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
92,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Hospital Staff,1,0,0,1,3,Cyber Crime,,,0.4,token_overlap
93,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Husband During Sepearation,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
94,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Neighbours,14,3,3,3,3,Cyber Crime,,,0.4,token_overlap
95,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Relatives,12,4,4,4,3,Cyber Crime,,,0.4,token_overlap
96,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",In Jail Custody,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
97,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,97,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",In Remand Home,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
98,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,98,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",InCest,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
99,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,99,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Known Person,94,35,26,29,3,Cyber Crime,,,0.4,token_overlap
100,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,100,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Unknown Person,4,1,1,1,3,Cyber Crime,,,0.4,token_overlap
101,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,101,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Due to Other Causes,61,11,15,15,3,Cyber Crime,,,0.4,token_overlap
