Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
149,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",Chain Snatching,167,40,31,36,,,,,,,
150,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",Attempt to Commit,24,2,7,5,,,,,,,
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Residential Premises,1057,212,231,236,,,,,,,
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",On Highways,1,0,0,0,,,,,,,
153,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",In Trains,0,0,0,0,,,,,,,
154,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Banks,15,1,3,1,,,,,,,
155,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Commercial Places / Establishments,201,57,37,33,,,,,,,
156,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",In Other Places,134,29,28,30,,,,,,,
157,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",Temple Theft,165,34,30,24,,,,,,,
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Residential Premises,351,81,69,51,,,,,,,
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",On Highways,0,0,0,0,,,,,,,
160,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",In Trains,0,0,0,0,,,,,,,
161,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Banks,0,0,0,0,,,,,,,
162,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Commercial Places / Establishments,16,5,0,4,,,,,,,
163,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",In Other Places,12,3,2,1,,,,,,,
164,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",Temple Theft,8,0,3,1,,,,,,,
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Attempt to commit,36,9,7,8,,,,,,,
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Tractors,25,8,4,6,,,,,,,
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),In Running Bus,60,7,22,9,,,,,,,
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Snatching,196,43,26,48,,,,,,,
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),At ATM,10,4,1,0,,,,,,,
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Sand,839,106,139,186,,,,,,,
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Government Office,14,3,4,3,,,,,,,
