Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
152,A- IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,371,50,34,36
153,A- IPC CRIME,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,876,68,74,66
154,A- IPC CRIME,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
155,A- IPC CRIME,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
156,A- IPC CRIME,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,0,1,0,0
157,A- IPC CRIME,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,39,2,5,4
158,A- IPC CRIME,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,61,5,5,6
159,A- IPC CRIME,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,26,1,7,4
160,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of sand,1069,76,78,123
161,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Attempt to commit,41,4,3,5
162,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),At ATM,7,2,0,1
163,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,113,0,15,15
164,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,256,17,16,22
165,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cattle,473,34,31,33
166,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cycle,123,5,8,12
167,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,138,13,8,10
168,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,11,0,0,0
