Sl.No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
157,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
158,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,0,0,0,0
159,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,28,5,4,2
160,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,49,8,10,16
161,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,24,2,2,6
162,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of sand,869,57,111,143
163,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Attempt to commit,38,2,6,6
164,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),At ATM,6,1,1,2
165,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,117,15,10,15
166,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,173,20,23,34
167,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cattle,271,35,52,66
168,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cycle,85,13,20,20
169,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,104,9,16,18
170,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,6,1,0,0
171,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,189,23,38,33
172,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,8123,1007,1365,1391
173,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,198,22,35,48
174,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,162,30,27,28
175,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,0,0,0,0
176,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1217,200,255,245
177,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Fire Arms,5,0,0,0
178,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Explosives,2,0,0,1
179,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,4,2,0,1
180,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,2,0,0,1
181,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,179,18,26,41
182,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Cash,453,40,79,82
183,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Jewellery,918,78,149,143
184,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1283,127,254,265
185,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),In Running Train,38,4,2,1
186,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Extortion,149,15,30,20
187,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),House Theft,1380,120,229,214
188,A-IPC CRIME,THEFT (Sec.379 to 389 IPC),Servant Theft,281,22,48,52
189,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Land Dispute,759,74,113,87
190,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,1,0,0,0
191,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2,1,0,0
192,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,2,0,1,0
193,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Linguistic,2,0,0,0
194,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Political ,67,6,3,3
195,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Regional,3,0,0,0
196,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0
197,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Students,2,1,0,0
198,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Tribal,1,0,0,0
199,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,12,2,1,1
200,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Communal,4,2,1,0
201,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Industrial,4,0,0,1
202,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Caste,5,0,0,1
203,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Agrarian,2,0,0,0
204,A-IPC CRIME,RIOTS (Sec.141 to 153 IPC),Others,1737,191,196,240
205,A-IPC CRIME,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0
206,A-IPC CRIME,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,55,9,3,18
207,A-IPC CRIME,CRIMINAL BREACH OF TRUST,NA,319,37,55,39
208,A-IPC CRIME,CHEATING (Sec.417 to 420 IPC),NA,4445,513,777,743
209,A-IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0
210,A-IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0
211,A-IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0
212,A-IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
213,A-IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),18,4,3,1
214,A-IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,0,2,0,0
215,A-IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,237,24,33,36
216,A-IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),1,0,0,0
217,A-IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,0,0,0,0
218,A-IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,119,12,27,18
219,A-IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),2,0,0,0
220,A-IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),0,0,0,0
221,A-IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,902,128,113,99
222,A-IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,10602,1063,1330,1515
223,A-IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,1,0,0,0
224,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0
225,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),1,1,0,0
226,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0
227,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0
228,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0
229,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,1,0,0,1
230,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Edible Oil,1,0,0,1
